cnpj,cvm_code,root,company,trading_name,ticker
60.730.348/0001-66,3654,MSPA,CIA MELHORAMENTOS DE SAO PAULO,MELHOR SP,MSPA3
60.730.348/0001-66,3654,MSPA,CIA MELHORAMENTOS DE SAO PAULO,MELHOR SP,MSPA4
14.110.585/0001-07,25232,CASH,MÉLIUZ S.A.,MELIUZ,CASH3
12.181.987/0001-77,25119,MELK,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELNICK,MELK3
34.169.557/0001-72,1309,BMIN,BCO MERCANTIL DE INVESTIMENTOS S.A.,MERC INVEST,BMIN3
34.169.557/0001-72,1309,BMIN,BCO MERCANTIL DE INVESTIMENTOS S.A.,MERC INVEST,BMIN4
17.184.037/0001-10,1325,BMEB,BCO MERCANTIL DO BRASIL S.A.,MERCANTIL,BMEB3
17.184.037/0001-10,1325,BMEB,BCO MERCANTIL DO BRASIL S.A.,MERCANTIL,BMEB4
60.476.884/0001-87,8575,LEVE,MAHLE-METAL LEVE S.A.,METAL LEVE,LEVE3
04.821.041/0001-08,20613,FRIO,METALFRIO SOLUTIONS S.A.,METALFRIO,FRIO3
86.375.425/0001-09,8753,MTSA,METISA METALURGICA TIMBOENSE S.A.,METISA,MTSA4
27.093.558/0001-15,22012,MILS,MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A,MILLS,MILS3
67.620.377/0001-14,20931,BEEF,MINERVA S.A.,MINERVA,BEEF3
90.076.886/0001-40,13765,MNPR,MINUPAR PARTICIPACOES S.A.,MINUPAR,MNPR3
07.882.930/0001-65,24902,MTRE,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MITRE REALTY,MTRE3
02.846.056/0001-97,18821,MOTV,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,MOTIVA SA,MOTV3
12.049.631/0001-84,21067,MDNE,MOURA DUBEUX ENGENHARIA S/A,MOURA DUBEUX,MDNE3
21.314.559/0001-66,23825,MOVI,MOVIDA PARTICIPACOES SA,MOVIDA,MOVI3
08.343.492/0001-20,20915,MRVE,MRV ENGENHARIA E PARTICIPACOES S.A.,MRV,MRVE3
59.717.553/0001-02,26034,MLAS,GRUPO MULTI S.A.,MULTILASER,MLAS3
07.816.890/0001-53,20982,MULT,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,MULTIPLAN,MULT3
88.610.191/0001-54,5312,MNDL,MUNDIAL S.A. - PRODUTOS DE CONSUMO,MUNDIAL,MNDL3
71.673.990/0001-77,19550,NATU,NATURA COSMETICOS S.A.,NATURA,NATU3
01.083.200/0001-18,15539,NEOE,NEOENERGIA S.A.,NEOENERGIA,NEOE3
10.139.870/0001-08,25399,NGRD,NEOGRID PARTICIPACOES S.A.,NEOGRID,NGRD3
07.237.373/0001-20,1228,BNBR,BCO NORDESTE DO BRASIL S.A.,NORD BRASIL,BNBR3
60.884.319/0001-59,9083,NORD,NORDON INDUSTRIAS METALURGICAS S.A.,NORDON MET,NORD3
51.128.999/0001-90,21334,NUTR,NUTRIPLANT INDUSTRIA E COMERCIO S.A.,NUTRIPLANT,NUTR3
09.114.805/0001-30,25534,OPCT,OCEANPACT SERVICOS MARITIMOS S.A.,OCEANPACT,OPCT3
12.104.241/0004-02,26123,ONCO,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,ONCOCLINICAS,ONCO3
59.693.110/0001-29,27910,OBTC,ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO,ORANJEBTC,OBTC3
11.421.994/0001-36,25550,ORVR,ORIZON VALORIZACAO DE RESIDUOS S.A.,ORIZON,ORVR3
20.258.278/0001-70,23507,OFSA,OUROFINO S.A.,OUROFINO S/A,OFSA3
47.508.411/0001-56,14826,PCAR,CIA BRASILEIRA DE DISTRIBUICAO,P.ACUCAR-CBD,PCAR3
02.365.069/0001-44,18414,PDTC,PADTEC HOLDING S.A.,PADTEC,PDTC3
06.626.253/0001-51,22608,PGMN,EMPREENDIMENTOS PAGUE MENOS S.A.,PAGUE MENOS,PGMN3
92.693.019/0001-89,94,PATI,PANATLANTICA S.A.,PANATLANTICA,PATI3
92.693.019/0001-89,94,PATI,PANATLANTICA S.A.,PANATLANTICA,PATI4
01.938.783/0001-11,18708,PEAB,CIA PARTICIPACOES ALIANCA DA BAHIA,PAR AL BAHIA,PEAB3
01.938.783/0001-11,18708,PEAB,CIA PARTICIPACOES ALIANCA DA BAHIA,PAR AL BAHIA,PEAB4
02.950.811/0001-89,20478,PDGR,PDG REALTY S.A. EMPREEND E PARTICIPACOES,PDG REALT,PDGR3
33.000.167/0001-01,9512,PETR,PETROLEO BRASILEIRO S.A. PETROBRAS,PETROBRAS,PETR3
33.000.167/0001-01,9512,PETR,PETROLEO BRASILEIRO S.A. PETROBRAS,PETROBRAS,PETR4
03.342.704/0001-30,25780,RECV,PETRORECÔNCAVO S.A.,PETRORECSA,RECV3
88.613.658/0001-10,9539,PTNT,PETTENATI S.A. INDUSTRIA TEXTIL,PETTENATI,PTNT3
88.613.658/0001-10,9539,PTNT,PETTENATI S.A. INDUSTRIA TEXTIL,PETTENATI,PTNT4
53.153.938/0001-08,27766,AUAU,UNIÃO PET PARTICIPAÇÕES S.A.,PETZCOBASI,AUAU3
62.144.175/0001-20,20567,PINE,BCO PINE S.A.,PINE,PINE3
62.144.175/0001-20,20567,PINE,BCO PINE S.A.,PINE,PINE4
24.230.275/0001-80,25070,PLPL,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLANOEPLANO,PLPL3
51.928.174/0001-50,13471,PLAS,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,PLASCAR PART,PLAS3
02.149.205/0001-69,16659,PSSA,PORTO SEGURO S.A.,PORTO SEGURO,PSSA3
83.475.913/0001-91,13773,PTBL,PBG S/A,PORTOBELLO,PTBL3
81.243.735/0001-48,20362,POSI,POSITIVO TECNOLOGIA S.A.,POSITIVO TEC,POSI3
18.593.815/0001-97,24236,PRNR,PRINER SERVIÇOS INDUSTRIAIS S.A.,PRINER,PRNR3
